School_Alpha,School_Short,prev_school_short,tm,School_Name,school_code,Network_Short,Network_Name,Alt_Network_Short,Alt_Network_Name,Round,Repeat,New,Size,Short
Sunset HS-hs,Sunset HS11S,,0,Sunset High School,,Del Norte11S,Del Norte County Unified School District,,,11S,FALSE,1,86,Sunset HS
Sunset-hs,Sunset10F,,0,Miami Sunset Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,FALSE,1,2600,Sunset
SVHS-hs,SVHS09F,,0,Sun Valley High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,FALSE,1,685,SVHS
T-STEM ECHS-hs,T-STEM ECHS10S,,0,PSJA T-STEM Early College High School,,T-STEM10S,STEM,,,10S,FALSE,1,197,T-STEM ECHS
T.L. Weston-hs,T.L. Weston11F,,0,Greenville Weston High School - T.L. Weston Campus,TLWEST,FMS11F,Foundation for the Mid South,,Foundation for the Mid South - Greenville Public School District,11F,FALSE,1,432,T.L. Weston
TCEC-hs,TCEC11S,,0,Tri-County Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,FALSE,1,108,TCEC
Tech Valley-hs,Tech Valley10F,,0,Tech Valley High School,,NewTech10F,New Tech Network,,,10F,TRUE,0,125,Tech Valley
Tech Valley-hs,Tech Valley13X,Tech Valley10F,0,Tech Valley High School,TVHS,,New Tech Network,,,13X,TRUE,1,119,Tech Valley
TempeHS-hs,TempeHS10F,,0,Tempe Accelerated High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,FALSE,1,173,TempeHS
TGBHS-hs,TGBHS10F,,0,Trevor G. Browne High School,,Phoenix Union10F,Phoenix Union High School District,,,10F,FALSE,1,2800,TGBHS
Turner Tech-hs,Turner Tech10F,,0,William H. Turner Technical Arts High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,FALSE,1,1524,Turner Tech
Tyner-hs,Tyner13S,,1,Tyner Academy,TYNER,Hamilton13S,Hamilton County Schools,,,13S,FALSE,1,560,Tyner
VCECHS-hs,VCECHS10S,,0,Vance County Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,132,VCECHS
VECHS-hs,VECHS12S,,0,Victory Early College High School ,VICT,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,380,VECHS
Vigor-hs,Vigor12F,,0,Vigor High School,VIGOR,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,776,Vigor
Viking-hs,Viking11F,,0,Viking New Tech,VIKING,NewTech11F,New Tech Network,,New Tech Network,11F,FALSE,1,223,Viking
Wake-hs,Wake11F,,0,Wake Early College of Health Sciences,WAKE,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,0,257,Wake
Wake-hs,Wake13X,Wake11F,0,Wake Early College of Health Sciences,WAKE,,RTI International,,,13X,TRUE,1,260,Wake
Warren-hs,Warren13X,,0,Warren County High School,WCHS,,RTI International,,,13X,FALSE,1,200,Warren
WEMCHS-hs,WEMCHS11S,,0,Wayne Early Middle College High School,,NCNSP11S,North Carolina New Schools,,,11S,FALSE,1,248,WEMCHS
West Covina-hs,West Covina13S,,1,West Covina High School,WCOV,West Covina13S,West Covina Unified School District,,,13S,FALSE,1,2586,West Covina
West Phoenix-hs,West Phoenix09F,,0,West Phoenix High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,TRUE,0,727,West Phoenix
West Phoenix-hs,West Phoenix10F,West Phoenix09F,0,West Phoenix High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,TRUE,1,653,West Phoenix
Westland-hs,Westland10F,,0,Westland Hialeah Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,FALSE,1,1864,Westland
Westwood-hs,Westwood11F,,0,Westwood New Tech High School,WWOOD,NewTech11F,New Tech Network,,New Tech Network,11F,FALSE,1,225,Westwood
Williamson-hs,Williamson12F,,0,Williamson High School,WILLIAM,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,693,Williamson
Wilson-hs,Wilson08S,,0,Woodrow Wilson Senior High School,,,,,,08S,FALSE,1,1446,Wilson
WNTHS-hs,WNTHS10F,,0,Warren New Tech High School,,NewTech10F,New Tech Network,,,10F,TRUE,0,219,WNTHS
WNTHS-hs,WNTHS13X,WNTHS10F,0,Warren New Tech High School,WNT,,RTI International,,,13X,TRUE,1,193,WNTHS
WSE-hs,WSE10S,,0,Wayne School of Engineering at Goldsboro High School,,NCNSP10S,North Carolina New Schools,STEM10S,STEM,10S,TRUE,0,248,WSE
WSE-hs,WSE11F,WSE10S,0,Wayne School of Engineering at Goldsboro High School,WGOLD,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,327,WSE
YNT@A-hs,YNT@A11S,,0,Ypsilanti New Tech High School @ Ardis,,NewTech11S,New Tech Network,,,11S,FALSE,1,124,YNT@A
HTMNC-ms,HTMNC12F,,1,High Tech Middle North County,HTMNC,HTH12F,High Tech High,,,12F,,,347,HTMNC
HTM-ms,HTM12F,,1,High Tech Middle,HTM,HTH12F,High Tech High,,,12F,,,336,HTM
McKnight-ms,McKnight12F,,0,McKnight Middle School,MCK,Renton12F,Renton School District,,,12F,,,1232,McKnight
Chastang-ms,Chastang12Y,,0,Chastang Middle School,CHASTANG,Mobile12Y,Mobile County Public Schools,,,12Y,,,360,Chastang
Eanes-ms,Eanes12Y,,0,Eanes Middle School,EANES,Mobile12Y,Mobile County Public Schools,,,12Y,,,423,Eanes
HTMCV-ms,HTMCV12F,,1,High Tech Middle Chula Vista,HTMCV,HTH12F,High Tech High,,,12F,,,339,HTMCV
Albert Einstein-ms,Albert Einstein12F,,1,Albert Einstein Middle School,EINSTEIN,Sacramento12F,Sacramento City Unifed School District,,,12F,,,722,Albert Einstein
HTMMA-ms,HTMMA12F,,1,High Tech Middle Media Arts,HTMMA,HTH12F,High Tech High,,,12F,,,336,HTMMA
Cal Middle-ms,Cal Middle12F,,1,California Middle School,CAL,Sacramento12F,Sacramento City Unifed School District,,,12F,,,721,Cal Middle
Dimmitt-ms,Dimmitt13S,,0,Dimmitt Middle School,DIM,Renton13S,Renton School District,,,13S,,,1004,Dimmitt
Hollencrest-ms,Hollencrest13S,,1,Hollencrest Middle School,HOLLEN,West Covina13S,West Covina Unified School District,,,13S,,,729,Hollencrest
Summit View-ms,Summit View13S,,0,Summit View Middle School,SUMMIT,Kenton13S,Kenton County School District,,,13S,,,782,Summit View
Turkey Foot-ms,Turkey Foot13S,,0,Turkey Foot Middle School,TURKEY,Kenton13S,Kenton County School District,,,13S,,,1074,Turkey Foot
Twenhofel-ms,Twenhofel13S,,0,Twenhofel Middle School,TWEN,Kenton13S,Kenton County School District,,,13S,,,813,Twenhofel
Memorial Middle-ms,Memorial Middle13S,,0,Memorial Middle School,MEM,La Joya13S,La Joya Independent School District,,,13S,,,658,Memorial Middle
Briar Middle-ms,Briar Middle13S,,1,Briar Middle School,PERKMS,OSLN13S,Ohio STEM Learning Network,,,13S,,,552,Briar Middle
Irene Garcia-ms,Irene Garcia13S,,0,Irene Garcia Middle School,IRGAR,La Joya13S,La Joya Independent School District,,,13S,,,847,Irene Garcia
Woodland-ms,Woodland13S,,0,Woodland Middle School,WLND,Kenton13S,Kenton County School District,,,13S,,,757,Woodland
Javier Saenz-ms,Javier Saenz13S,,0,Dr. Javier Saenz Middle School,SAENZ,La Joya13S,La Joya Independent School District,,,13S,,,650,Javier Saenz
Walnut Grove-ms,Walnut Grove13S,,1,Walnut Grove Intermediate School,WALNUT,West Covina13S,West Covina Unified School District,,,13S,,,458,Walnut Grove
Lorenzo De Zavala-ms,Lorenzo De Zavala13S,,0,Lorenzo de Zavala Middle School,LDZAV,La Joya13S,La Joya Independent School District,,,13S,,,711,Lorenzo De Zavala
Edgewood Middle-ms,Edgewood Middle13S,,1,Edgewood Middle School,EDGMS,West Covina13S,West Covina Unified School District,,,13S,,,578,Edgewood Middle
Domingo Trevino-ms,Domingo Trevino13S,,0,Domingo Trevino Middle School,TREV,La Joya13S,La Joya Independent School District,,,13S,,,961,Domingo Trevino
Ann Richards-ms,Ann Richards13S,,0,Ann Richards Middle School,ARICH,La Joya13S,La Joya Independent School District,,,13S,,,876,Ann Richards
Cesar Chavez-ms,Cesar Chavez13S,,0,Cesar E. Chavez Middle School,CCHAVEZ,La Joya13S,La Joya Independent School District,,,13S,,,895,Cesar Chavez
Juan Salinas-ms,Juan Salinas13S,,0,Juan De Dios Salinas Middle School,JDSAL,La Joya13S,La Joya Independent School District,,,13S,,,711,Juan Salinas
Pillans-ms,Pillans12Y,,0,Pillans Middle,PILLANS,Mobile12Y,Mobile County Public Schools,,,12Y,,,550,Pillans
Semmes-ms,Semmes12Y,,0,Semmes Middle,SEMMES,Mobile12Y,Mobile County Public Schools,,,12Y,,,1633,Semmes
LMES-ms,LMES13X,,0,Los Molinos Elementary School,LMES,Los Molinos13X,Los Molinos Unified School District,,,13X,,,80,Los Molinos
VES-ms,VES13X,,0,Vina Elementary School,VINA,Los Molinos13X,Los Molinos Unified School District,,,13X,,,37,Vina
Bate MS-ms,Bate MS13X,,0,Bate Middle School,BATE,LLN13X,Learning Lab Network (LLN),,,13X,,,398,Bate
HUGHESMS-ms,HUGHESMS13X,,0,Hughes STEM Middle School,HUGHESMS,LLN13X,Learning Lab Network (LLN),,,13X,,,200,Hughes Middle
DCS-ms,DCS13X,,1,Charles R. Drew Charter School,DCS,DCS13X,Drew Charter School,,,13X,,,297,Drew Charter
McClure-ms,McClure13Y,,1,McClure Middle School,MCC,Seattle,Seattle School District,,,13Y,,,139,McClure
Moscow Middle-ms,Moscow Middle13Y,,1,The Anglo-American School of Moscow - Middle School,MCWM,Anglo American School of Moscow,Anglo American School of Moscow,,,13Y,,,193,Moscow Middle
